time,delta,elbow_angle,elbow_velocity,elbow_torque
4.753,0.016,180.0,0.0,-2.2043642384652358E-17
4.769,0.016,180.0,0.0,-2.2043642384652358E-17
4.786,0.017,180.0,0.0,-2.2043642384652358E-17
4.802,0.016,180.0,0.0,-2.2043642384652358E-17
4.818,0.016,179.5,-6.25,-0.0015707763897073925
4.835,0.017,180.0,-0.3676470588235297,-2.2043642384652358E-17
4.851,0.016,180.0,-0.3676470588235297,-2.2043642384652358E-17
4.868,0.017,180.0,-0.3676470588235297,-2.2043642384652358E-17
4.884,0.016,180.0,-0.3676470588235297,-2.2043642384652358E-17
4.9,0.016,180.0,5.88235294117647,-2.2043642384652358E-17
4.917,0.017,180.0,0.0,-2.2043642384652358E-17
4.933,0.016,180.0,0.0,-2.2043642384652358E-17
4.95,0.017,180.0,0.0,-2.2043642384652358E-17
4.966,0.016,180.0,0.0,-2.2043642384652358E-17
4.982,0.016,180.0,0.0,-2.2043642384652358E-17
4.999,0.017,180.0,0.0,-2.2043642384652358E-17
5.015,0.016,180.0,0.0,-2.2043642384652358E-17
5.031,0.016,180.0,0.0,-2.2043642384652358E-17
5.048,0.017,180.0,0.0,-2.2043642384652358E-17
5.064,0.016,180.0,0.0,-2.2043642384652358E-17
5.081,0.017,180.0,0.0,-2.2043642384652358E-17
5.097,0.016,180.0,0.0,-2.2043642384652358E-17
5.113,0.016,180.0,0.0,-2.2043642384652358E-17
5.13,0.017,180.0,0.0,-2.2043642384652358E-17
5.146,0.016,180.0,0.0,-2.2043642384652358E-17
5.162,0.016,180.0,0.0,-2.2043642384652358E-17
5.179,0.017,180.0,0.0,-2.2043642384652358E-17
5.195,0.016,180.0,0.0,-2.2043642384652358E-17
5.212,0.017,180.0,0.0,-2.2043642384652358E-17
5.228,0.016,180.0,0.0,-2.2043642384652358E-17
5.244,0.016,179.25,-9.375,-0.0023561272028420344
5.261,0.017,179.75,-3.49264705882353,-7.85395671254356E-4
5.276,0.015,180.0,-0.15931372549019612,-2.2043642384652358E-17
5.294,0.018,180.0,-0.15931372549019612,-2.2043642384652358E-17
5.31,0.016,180.0,-0.15931372549019612,-2.2043642384652358E-17
5.326,0.016,180.0,9.215686274509803,-2.2043642384652358E-17
5.342,0.016,180.0,3.3333333333333335,-2.2043642384652358E-17
